trial,start_time,rt,correct,version,activation,fact_id,question,answer,0,0,alpha
109,577557.4312999961,1580.210200016154,False,without,0.5,95,gift,zawadi,without,0.5,0.42109374999999993
110,580266.6643999983,1683.200500003295,False,without,0.7310585786300049,20,snow,theluji,without,0.7310585786300049,0.43671874999999993
111,583007.0124999911,1770.2310000022408,False,without,0.5,13,eye,jicho,without,0.5,0.3
112,586831.7710999982,704.0691000001971,False,without,0.7310585786300049,102,painting,uchoraji,without,0.7310585786300049,0.42460937499999996
113,588657.7819999948,2908.278100017924,False,without,0.8807970779778823,77,rake,reki,without,0.8807970779778823,0.4687499999999999
114,593141.233900009,inf,False,without,0.7310585786300049,38,window,dirisha,without,0.7310585786300049,0.6000000000000002
115,599791.9154000119,1855.3093999798875,False,without,0.5,16,moon,mwezi,without,0.5,0.4273437499999999
116,604129.8266999947,inf,False,without,0.2689414213699951,86,drum,ngoma,without,0.2689414213699951,0.601171875
117,616454.8326999939,2744.887500011828,False,without,0.5,67,bread,mkate,without,0.5,0.349609375
118,620370.3717000026,4590.621799987275,True,without,0.7310585786300049,32,plane,ndege,without,0.7310585786300049,0.46015625000000004
119,626931.7195999902,12713.135400001192,False,without,0.8807970779778823,38,window,dirisha,without,0.8807970779778823,0.6121093750000003

